Task_Difficulty,Task_Type,Task_Duration,Member_Skill_Level,Member_Experience,Member_Workload,PerformanceScore
Easy,Development,37,1,19,15,5
Medium,Development,24,5,1,92,4
Easy,Development,54,2,14,15,8
Hard,Testing,88,3,11,46,10
Hard,Documentation,58,3,18,79,5
Medium,Development,36,1,18,50,9
Hard,Testing,38,2,10,13,6
Medium,Development,19,5,13,49,2
Medium,Development,63,4,14,1,6
Easy,Testing,98,4,3,94,6
Medium,Documentation,66,1,7,77,7
Easy,Documentation,46,4,10,89,10
Medium,Development,33,1,16,29,10
Medium,Documentation,55,3,9,37,4
Medium,Documentation,80,4,2,58,3
Medium,Development,67,3,18,20,4
Medium,Testing,88,4,19,96,1
Hard,Testing,7,5,16,65,8
Medium,Testing,60,1,6,57,4
Medium,Documentation,65,4,4,12,9
Easy,Testing,26,2,20,35,3
Easy,Documentation,59,2,20,95,5
Easy,Documentation,71,1,15,96,4
Hard,Development,35,1,19,53,4
Hard,Documentation,84,3,17,21,6
Hard,Testing,86,2,14,0,8
Medium,Development,42,2,15,33,8
Hard,Testing,54,5,13,84,8
Hard,Testing,33,1,10,9,7
Hard,Documentation,21,1,18,12,7
Easy,Documentation,96,4,14,48,9
Medium,Development,36,4,1,51,6
Hard,Documentation,60,2,3,41,3
Hard,Testing,92,3,18,8,7
Easy,Documentation,26,2,2,55,5
Easy,Development,52,4,10,22,7
Medium,Development,31,4,8,33,4
Medium,Development,48,1,17,24,10
Medium,Testing,89,4,2,59,8
Hard,Testing,84,1,7,67,3
Medium,Testing,18,2,12,82,10
Medium,Development,97,2,14,71,10
Medium,Documentation,39,5,16,87,2
Easy,Testing,75,2,15,86,9
Easy,Documentation,54,3,1,59,8
Easy,Testing,78,1,6,62,1
Medium,Testing,97,1,6,76,5
Easy,Testing,31,4,19,48,4
Hard,Testing,52,3,20,1,2
Easy,Testing,60,3,10,95,2
Easy,Development,98,4,13,19,10
Medium,Documentation,17,4,8,84,2
Easy,Development,11,3,18,30,1
Easy,Development,65,3,8,75,10
Hard,Development,59,1,3,96,4
Medium,Documentation,43,5,6,49,10
Medium,Testing,19,2,17,83,10
Easy,Documentation,64,4,1,37,4
Hard,Testing,1,4,10,34,2
Medium,Development,24,3,14,82,9
Easy,Testing,21,5,3,25,3
Easy,Documentation,18,4,4,37,9
Medium,Testing,98,1,19,80,7
Hard,Development,49,2,16,38,4
Easy,Testing,48,3,18,77,8
Hard,Documentation,66,5,10,56,8
Easy,Testing,52,4,10,11,4
Medium,Documentation,2,5,14,21,8
Medium,Testing,54,4,4,81,5
Hard,Development,95,1,15,93,2
Easy,Testing,4,4,10,32,8
Easy,Development,92,2,3,80,9
Medium,Documentation,21,2,8,49,8
Hard,Documentation,18,1,10,26,8
Medium,Testing,54,1,1,82,9
Easy,Testing,78,2,10,28,1
Medium,Development,19,3,1,28,3
Medium,Documentation,67,4,1,40,2
Easy,Documentation,3,1,2,53,8
Easy,Testing,50,2,9,23,9
Hard,Development,54,1,12,47,5
Hard,Development,41,1,2,68,5
Easy,Documentation,10,4,19,18,6
Hard,Development,56,3,18,39,6
Medium,Development,72,1,8,26,8
Hard,Testing,76,2,12,32,2
Medium,Testing,64,3,7,64,6
Hard,Testing,38,4,9,8,4
Hard,Documentation,75,3,17,5,5
Hard,Documentation,88,1,7,6,4
Medium,Testing,100,1,8,32,9
Medium,Development,43,2,18,46,4
Hard,Testing,80,1,12,98,4
Medium,Testing,84,5,17,1,5
Easy,Testing,46,4,14,91,9
Hard,Development,17,2,2,38,1
Easy,Development,73,5,8,28,9
Medium,Development,80,5,5,89,5
Easy,Documentation,54,1,1,99,9
Hard,Development,37,2,6,16,8
Hard,Documentation,82,5,3,44,3
Hard,Testing,23,4,2,49,8
Medium,Development,23,3,14,68,7
Medium,Testing,76,2,20,58,4
Hard,Testing,3,5,16,29,10
Medium,Documentation,62,1,16,73,10
Easy,Testing,87,5,1,89,10
Medium,Testing,89,1,5,68,10
Medium,Development,68,2,14,60,4
Hard,Development,96,3,14,34,2
Medium,Documentation,9,4,17,19,4
Hard,Documentation,31,4,17,16,7
Hard,Documentation,46,5,14,33,5
Medium,Development,37,2,10,37,8
Easy,Development,59,5,12,80,9
Easy,Documentation,20,4,13,13,9
Hard,Development,22,5,13,58,9
Medium,Testing,6,1,6,58,1
Easy,Development,43,1,20,62,5
Medium,Testing,1,4,8,20,10
Medium,Documentation,67,4,20,11,2
Medium,Development,20,3,8,7,7
Hard,Documentation,98,2,2,59,1
Medium,Documentation,48,1,20,64,10
Medium,Development,41,2,8,38,2
Medium,Development,46,1,4,71,5
Easy,Testing,90,5,8,90,2
Medium,Development,52,2,6,86,6
Medium,Testing,94,3,6,87,5
Medium,Documentation,24,5,1,44,1
Medium,Testing,75,1,7,21,8
Easy,Testing,89,5,5,78,10
Medium,Documentation,25,5,1,90,8
Easy,Testing,23,3,2,33,3
Hard,Documentation,46,4,15,72,10
Hard,Documentation,25,5,14,47,7
Hard,Development,42,5,5,71,10
Easy,Documentation,6,4,15,62,10
Hard,Testing,47,1,19,81,7
Hard,Development,31,3,1,74,1
Hard,Testing,77,5,16,99,6
Hard,Documentation,89,5,13,96,7
Medium,Development,32,1,18,42,5
Medium,Development,96,2,15,72,3
Easy,Documentation,18,2,18,76,7
Hard,Documentation,76,2,16,42,9
Easy,Documentation,97,3,8,4,10
Easy,Documentation,57,2,12,32,1
Easy,Testing,83,1,2,22,4
Hard,Documentation,78,4,3,100,6
Easy,Documentation,57,1,17,15,5
Hard,Documentation,1,4,20,97,9
Medium,Testing,74,3,18,58,9
Hard,Testing,69,3,20,28,2
Hard,Documentation,85,1,13,48,5
Hard,Development,52,2,15,93,4
Hard,Development,84,4,4,79,10
Hard,Testing,37,1,6,40,3
Easy,Testing,66,3,13,73,8
Medium,Testing,96,4,15,67,1
Hard,Testing,99,3,2,35,4
Easy,Testing,53,5,14,14,1
Hard,Testing,16,4,16,76,2
Hard,Testing,40,4,9,20,1
Hard,Documentation,62,2,1,55,6
Hard,Development,69,4,5,21,1
Hard,Documentation,31,4,17,26,8
Easy,Testing,38,1,9,91,7
Easy,Testing,81,1,14,47,5
Medium,Testing,27,4,6,62,3
Medium,Testing,50,1,19,20,2
Easy,Documentation,90,3,9,96,1
Easy,Development,41,4,8,57,7
Hard,Testing,45,4,11,4,6
Hard,Testing,89,3,9,92,2
Hard,Development,34,1,14,52,8
Hard,Testing,76,1,15,53,6
Hard,Development,2,2,7,68,5
Easy,Testing,11,2,12,40,4
Hard,Development,24,3,7,64,9
Hard,Documentation,71,2,19,7,7
Medium,Documentation,33,5,12,11,6
Easy,Development,13,3,15,89,7
Medium,Documentation,23,3,2,5,4
Hard,Testing,68,5,7,100,6
Hard,Testing,43,5,10,85,3
Medium,Development,17,1,8,2,3
Medium,Testing,55,4,12,25,9
Medium,Development,98,2,6,1,7
Medium,Documentation,92,3,19,3,3
Medium,Documentation,64,3,5,63,10
Hard,Development,93,3,20,16,6
Medium,Documentation,92,2,19,91,9
Medium,Development,85,4,20,17,7
Easy,Documentation,30,3,13,38,4
Medium,Testing,49,2,7,59,8
Medium,Documentation,44,2,7,25,6
Hard,Development,59,4,16,65,3
Hard,Documentation,56,4,6,13,5
Hard,Testing,45,3,4,91,1
Medium,Documentation,50,4,18,90,2
Hard,Development,86,3,18,27,5
Easy,Testing,7,1,13,91,9
Hard,Testing,60,5,20,39,2
Easy,Testing,6,1,9,4,5
Medium,Testing,30,3,12,46,2
Hard,Development,97,4,4,35,5
Hard,Documentation,39,1,20,23,4
Easy,Testing,46,5,9,31,6
Easy,Documentation,51,1,14,19,6
Easy,Testing,100,1,17,18,9
Hard,Development,7,5,15,79,5
Hard,Testing,13,4,16,1,10
Medium,Testing,59,3,14,66,9
Easy,Documentation,53,5,1,35,4
Easy,Documentation,54,1,18,96,5
Hard,Documentation,76,4,17,83,3
Easy,Development,97,1,14,2,5
Easy,Documentation,67,4,4,96,8
Easy,Testing,55,2,17,45,4
Hard,Testing,41,3,16,8,3
Medium,Documentation,22,5,14,69,5
Hard,Testing,75,4,11,99,9
Hard,Development,90,3,7,75,7
Medium,Development,55,1,19,31,8
Hard,Development,90,2,20,1,7
Medium,Testing,54,3,17,77,2
Hard,Documentation,82,5,19,30,5
Hard,Documentation,49,2,2,5,1
Easy,Testing,74,4,6,20,3
Easy,Testing,77,4,11,28,4
Easy,Development,45,5,9,37,7
Hard,Documentation,32,5,3,43,6
Medium,Documentation,73,2,15,9,3
Easy,Development,58,3,8,71,8
Hard,Testing,85,1,1,95,3
Medium,Development,81,1,1,56,7
Hard,Development,2,1,19,35,7
Medium,Documentation,53,4,5,34,9
Medium,Testing,20,5,12,54,9
Easy,Development,43,5,5,86,9
Easy,Testing,34,5,12,15,9
Hard,Testing,4,3,2,94,5
Medium,Development,4,1,13,8,1
Medium,Documentation,53,4,20,53,10
Easy,Documentation,57,3,16,91,6
Hard,Development,98,4,11,62,1
Easy,Development,38,1,20,7,3
Medium,Development,41,3,20,88,5
Easy,Development,35,3,4,6,3
Hard,Testing,86,5,1,35,3
Hard,Testing,43,5,6,20,4
Hard,Development,17,2,4,71,4
Easy,Development,81,4,18,31,1
Medium,Development,7,2,17,35,1
Medium,Testing,50,1,4,60,1
Hard,Testing,66,3,10,1,1
Easy,Development,77,4,15,49,2
Easy,Documentation,49,3,15,83,3
Easy,Testing,73,1,9,39,3
Medium,Development,30,5,17,75,6
Hard,Documentation,51,3,18,89,8
Medium,Testing,62,5,7,21,3
Hard,Documentation,66,2,20,32,8
Medium,Documentation,17,1,17,67,9
Medium,Documentation,100,1,2,31,6
Hard,Documentation,57,2,16,32,3
Hard,Development,91,1,2,59,5
Hard,Documentation,63,1,11,98,5
Medium,Testing,96,4,5,85,3
Medium,Development,55,4,10,90,3
Easy,Documentation,1,3,5,78,2
Easy,Testing,92,1,12,32,5
Hard,Development,2,5,9,35,9
Hard,Documentation,41,2,2,67,4
Easy,Testing,82,2,19,95,8
Hard,Development,67,1,4,93,2
Medium,Development,10,2,4,85,4
Easy,Development,63,2,8,79,6
Hard,Documentation,68,5,7,74,2
Medium,Development,79,3,16,75,8
Hard,Development,83,5,6,54,2
Easy,Testing,36,4,12,74,5
Medium,Documentation,13,5,11,31,2
Easy,Development,84,5,8,16,2
Hard,Documentation,86,1,7,30,9
Hard,Documentation,49,5,20,57,3
Hard,Documentation,9,2,17,50,7
Hard,Documentation,29,3,3,91,4
Easy,Documentation,27,2,11,94,5
Easy,Development,80,2,19,18,5
Hard,Documentation,99,2,9,42,9
Hard,Development,92,5,13,51,5
Hard,Development,94,1,8,26,3
Easy,Testing,43,3,18,97,3
Easy,Development,20,3,11,92,7
Hard,Documentation,26,3,5,6,8
Hard,Documentation,90,1,8,44,10
Medium,Development,56,1,5,87,3
Easy,Documentation,22,2,16,67,5
Easy,Development,19,3,9,51,3
Hard,Documentation,8,3,5,0,1
Medium,Development,48,4,5,82,3
Hard,Development,75,1,11,23,9
Medium,Testing,19,3,11,68,8
Hard,Development,69,4,7,28,10
Hard,Development,76,5,8,40,2
Hard,Testing,60,2,10,76,4
Medium,Development,94,1,14,66,10
Easy,Development,68,2,2,52,3
Medium,Documentation,74,4,16,18,7
Hard,Documentation,94,3,3,22,3
Medium,Documentation,72,4,2,81,8
Hard,Documentation,91,1,11,92,1
Medium,Testing,17,3,14,40,5
Hard,Development,47,1,13,71,2
Medium,Testing,52,5,5,64,7
Hard,Development,25,2,14,69,8
Medium,Testing,62,4,1,2,6
Medium,Testing,6,2,5,77,7
Medium,Testing,16,3,4,94,8
Hard,Testing,79,1,14,1,8
Hard,Testing,21,1,13,82,6
Hard,Documentation,63,2,14,43,4
Medium,Testing,67,1,8,56,7
Hard,Testing,13,3,2,22,10
Medium,Testing,75,1,20,27,4
Medium,Testing,43,2,5,95,7
Easy,Documentation,79,1,17,30,1
Hard,Development,30,1,13,56,1
Easy,Development,71,3,10,38,9
Easy,Documentation,93,1,19,80,2
Hard,Testing,34,4,15,86,1
Easy,Testing,25,4,1,49,1
Hard,Documentation,44,4,7,93,1
Medium,Development,59,1,4,37,5
Easy,Development,72,5,13,87,8
Easy,Testing,35,3,12,66,6
Medium,Development,76,3,19,32,9
Easy,Development,96,4,7,72,1
Hard,Testing,64,4,13,68,1
Easy,Testing,28,3,8,72,3
Hard,Testing,75,1,6,9,9
Easy,Testing,39,1,18,28,1
Medium,Documentation,77,4,2,76,9
Hard,Development,74,2,19,63,10
Medium,Testing,82,1,7,84,9
Medium,Testing,4,4,9,85,6
Easy,Development,57,3,11,4,9
Hard,Testing,27,5,10,48,6
Easy,Documentation,83,5,19,11,1
Hard,Documentation,5,1,6,9,1
Hard,Development,96,5,3,26,6
Easy,Development,50,3,5,35,4
Medium,Development,98,1,19,56,4
Hard,Testing,74,1,2,26,3
Easy,Development,22,4,20,51,8
Hard,Testing,31,4,5,29,10
Easy,Development,50,4,18,71,5
Easy,Development,29,1,20,59,4
Medium,Testing,78,3,1,26,2
Hard,Testing,69,1,18,52,2
Hard,Testing,93,5,4,10,1
Medium,Documentation,8,4,8,19,6
Hard,Documentation,66,2,7,69,10
Hard,Documentation,76,3,10,24,5
Easy,Testing,50,4,5,90,4
Medium,Testing,95,5,6,75,1
Hard,Testing,63,4,16,45,8
Easy,Documentation,88,2,12,82,4
Medium,Documentation,8,3,7,76,9
Medium,Documentation,1,5,4,11,6
Hard,Testing,78,2,20,25,2
Easy,Testing,27,5,7,44,2
Easy,Documentation,93,2,3,15,3
Easy,Development,31,2,4,82,4
Easy,Development,30,3,4,73,4
Hard,Testing,92,5,7,85,8
Easy,Testing,39,1,9,65,1
Hard,Development,8,5,12,40,6
Easy,Documentation,76,2,11,18,7
Medium,Documentation,41,2,1,91,10
Easy,Documentation,76,5,13,91,2
Hard,Development,88,4,7,94,6
Medium,Documentation,49,2,8,47,10
Medium,Development,43,1,3,27,6
Hard,Documentation,92,2,9,75,1
Hard,Development,3,2,3,86,10
Medium,Development,24,1,20,4,1
Medium,Documentation,41,3,11,9,7
Hard,Development,18,2,1,49,9
Medium,Testing,10,3,5,37,10
Medium,Testing,2,2,13,52,9
Medium,Testing,67,1,12,42,4
Hard,Testing,92,4,17,52,9
Hard,Documentation,43,2,2,88,2
Medium,Testing,98,1,16,98,7
Hard,Development,3,3,12,59,7
Hard,Documentation,69,3,8,9,3
Medium,Documentation,68,2,13,77,1
Hard,Testing,92,3,19,98,4
Hard,Documentation,14,3,8,29,6
Medium,Development,78,5,4,66,4
Hard,Testing,55,2,17,27,2
Hard,Development,91,5,4,89,2
Easy,Testing,57,3,4,69,6
Medium,Development,89,2,1,28,8
Easy,Documentation,15,1,14,37,10
Hard,Documentation,61,1,15,47,6
Easy,Documentation,24,4,3,40,2
Easy,Development,48,3,9,81,9
Medium,Documentation,48,1,12,96,6
Hard,Development,5,5,18,38,4
Medium,Development,71,4,15,42,8
Hard,Development,13,1,4,51,5
Medium,Development,24,1,19,66,5
Medium,Development,13,5,3,88,4
Hard,Development,26,2,19,23,8
Medium,Testing,91,1,16,45,7
Hard,Documentation,89,4,20,56,3
Hard,Testing,85,1,11,70,2
Medium,Development,97,5,6,42,10
Hard,Documentation,40,3,12,37,3
Easy,Development,70,1,17,7,3
Medium,Development,90,4,15,43,8
Medium,Development,17,5,13,35,7
Easy,Documentation,64,2,9,100,6
Medium,Documentation,47,4,11,41,6
Easy,Testing,49,1,9,8,2
Easy,Testing,1,5,9,99,9
Medium,Documentation,64,5,5,30,4
Medium,Documentation,46,1,11,28,9
Medium,Documentation,23,2,6,31,9
Medium,Development,25,4,7,44,10
Hard,Documentation,62,2,4,57,1
Easy,Testing,95,5,4,65,4
Hard,Development,33,3,15,31,8
Easy,Documentation,54,2,2,21,5
Medium,Documentation,50,2,16,68,4
Medium,Testing,39,4,8,92,10
Easy,Development,66,5,2,79,6
Medium,Documentation,25,5,9,65,9
Medium,Documentation,43,4,3,64,10
Hard,Documentation,76,3,14,90,2
Easy,Development,45,3,10,45,3
Hard,Documentation,30,4,3,73,3
Hard,Testing,12,1,18,77,6
Medium,Documentation,52,5,12,9,8
Hard,Testing,26,2,5,29,8
Easy,Documentation,68,4,12,69,1
Hard,Documentation,13,2,1,87,10
Hard,Testing,62,3,14,55,3
Hard,Development,88,4,4,63,6
Medium,Testing,66,3,4,81,3
Easy,Testing,21,1,13,97,1
Easy,Testing,28,4,12,63,2
Easy,Documentation,55,2,19,93,8
Hard,Testing,30,4,6,95,5
Hard,Documentation,7,3,20,47,6
Easy,Development,53,2,17,10,1
Medium,Testing,46,1,6,61,5
Hard,Documentation,1,2,12,4,8
Easy,Testing,43,2,7,85,6
Medium,Testing,77,3,8,57,8
Easy,Testing,53,5,10,17,3
Hard,Development,25,4,12,28,4
Hard,Development,72,4,2,37,10
Easy,Testing,70,3,15,30,9
Hard,Testing,34,1,15,100,9
Hard,Testing,87,2,14,81,6
Hard,Testing,38,1,2,13,2
Easy,Testing,75,2,6,15,7
Hard,Testing,66,4,7,7,10
Hard,Documentation,56,3,7,3,7
Medium,Testing,2,4,1,100,3
Medium,Development,27,2,19,1,7
Hard,Documentation,4,2,20,25,9
Medium,Development,19,5,14,84,7
Medium,Development,15,1,9,19,3
Medium,Testing,55,5,9,39,2
Easy,Testing,100,3,12,90,9
Medium,Development,4,2,1,95,6
Easy,Development,70,2,9,2,10
Easy,Documentation,49,5,4,27,5
Easy,Development,51,2,13,72,4
Medium,Testing,62,3,12,69,9
Hard,Testing,81,4,16,24,3
Medium,Documentation,10,2,13,91,5
Medium,Development,6,3,8,31,8
Medium,Testing,33,5,19,85,4
Hard,Development,34,2,11,5,9
Easy,Documentation,44,5,6,63,2
Hard,Documentation,16,5,7,89,5
Hard,Documentation,53,5,14,36,6
Medium,Development,75,3,2,68,4
Medium,Development,17,1,12,88,10
Medium,Documentation,76,4,13,87,5
Hard,Documentation,35,3,19,3,8
Hard,Testing,59,3,13,94,9
Easy,Testing,20,1,9,94,8
Easy,Testing,19,4,14,57,3
Easy,Development,3,2,18,26,3
Medium,Development,100,5,13,47,6
Hard,Development,9,3,2,42,4
Hard,Documentation,2,2,10,42,6
Medium,Development,54,2,4,45,10
Hard,Development,29,1,7,55,6
Medium,Testing,81,1,5,81,6
Hard,Development,15,3,17,86,5
Medium,Testing,19,2,9,33,2
Easy,Documentation,71,4,12,68,2
Medium,Testing,67,3,5,41,8
Medium,Testing,81,5,13,22,1
Hard,Development,1,4,7,95,4
Easy,Documentation,69,1,1,12,1
Hard,Documentation,53,4,15,41,1
Medium,Testing,43,5,15,49,7
Medium,Development,85,4,15,14,10
Hard,Development,99,1,1,23,8
Medium,Documentation,10,5,15,30,5
Easy,Documentation,78,3,18,54,3
Medium,Development,22,3,20,37,5
Hard,Development,71,1,15,86,8
Easy,Documentation,33,2,6,10,8
Easy,Testing,66,4,4,0,7
Easy,Testing,31,1,19,95,5
Medium,Development,53,1,13,2,6
Medium,Documentation,61,4,20,55,3
Medium,Development,40,2,7,35,2
Medium,Documentation,62,1,15,83,7
Medium,Documentation,80,2,6,60,7
Medium,Testing,43,3,6,74,1
Medium,Development,64,1,13,79,6
Medium,Documentation,32,1,20,29,1
Easy,Documentation,100,3,4,63,9
Medium,Development,48,2,19,43,9
Hard,Documentation,100,4,3,35,6
Easy,Testing,80,1,4,21,2
Hard,Documentation,23,2,10,47,3
Hard,Documentation,32,3,19,46,2
Easy,Testing,67,4,14,86,8
Hard,Testing,44,1,13,36,5
Easy,Testing,65,5,18,17,7
Easy,Documentation,60,1,2,51,4
Easy,Testing,11,5,7,38,5
