Task_Difficulty,Task_Type,Task_Duration,Member_Skill_Level,Member_Experience,Member_Workload
Easy,Development,37,1,19,15
Medium,Development,24,5,1,92
Easy,Development,54,2,14,15
Hard,Testing,88,3,11,46
Hard,Documentation,58,3,18,79
Medium,Development,36,1,18,50
Hard,Testing,38,2,10,13
Medium,Development,19,5,13,49
Medium,Development,63,4,14,1
Easy,Testing,98,4,3,94
Medium,Documentation,66,1,7,77
Easy,Documentation,46,4,10,89
Medium,Development,33,1,16,29
Medium,Documentation,55,3,9,37
Medium,Documentation,80,4,2,58
Medium,Development,67,3,18,20
Medium,Testing,88,4,19,96
Hard,Testing,7,5,16,65
Medium,Testing,60,1,6,57
Medium,Documentation,65,4,4,12
Easy,Testing,26,2,20,35
Easy,Documentation,59,2,20,95
Easy,Documentation,71,1,15,96
Hard,Development,35,1,19,53
Hard,Documentation,84,3,17,21
Hard,Testing,86,2,14,0
Medium,Development,42,2,15,33
Hard,Testing,54,5,13,84
Hard,Testing,33,1,10,9
Hard,Documentation,21,1,18,12
Easy,Documentation,96,4,14,48
Medium,Development,36,4,1,51
Hard,Documentation,60,2,3,41
Hard,Testing,92,3,18,8
Easy,Documentation,26,2,2,55
Easy,Development,52,4,10,22
Medium,Development,31,4,8,33
Medium,Development,48,1,17,24
Medium,Testing,89,4,2,59
Hard,Testing,84,1,7,67
Medium,Testing,18,2,12,82
Medium,Development,97,2,14,71
Medium,Documentation,39,5,16,87
Easy,Testing,75,2,15,86
Easy,Documentation,54,3,1,59
Easy,Testing,78,1,6,62
Medium,Testing,97,1,6,76
Easy,Testing,31,4,19,48
Hard,Testing,52,3,20,1
Easy,Testing,60,3,10,95
Easy,Development,98,4,13,19
Medium,Documentation,17,4,8,84
Easy,Development,11,3,18,30
Easy,Development,65,3,8,75
Hard,Development,59,1,3,96
Medium,Documentation,43,5,6,49
Medium,Testing,19,2,17,83
Easy,Documentation,64,4,1,37
Hard,Testing,1,4,10,34
Medium,Development,24,3,14,82
Easy,Testing,21,5,3,25
Easy,Documentation,18,4,4,37
Medium,Testing,98,1,19,80
Hard,Development,49,2,16,38
Easy,Testing,48,3,18,77
Hard,Documentation,66,5,10,56
Easy,Testing,52,4,10,11
Medium,Documentation,2,5,14,21
Medium,Testing,54,4,4,81
Hard,Development,95,1,15,93
Easy,Testing,4,4,10,32
Easy,Development,92,2,3,80
Medium,Documentation,21,2,8,49
Hard,Documentation,18,1,10,26
Medium,Testing,54,1,1,82
Easy,Testing,78,2,10,28
Medium,Development,19,3,1,28
Medium,Documentation,67,4,1,40
Easy,Documentation,3,1,2,53
Easy,Testing,50,2,9,23
Hard,Development,54,1,12,47
Hard,Development,41,1,2,68
Easy,Documentation,10,4,19,18
Hard,Development,56,3,18,39
Medium,Development,72,1,8,26
Hard,Testing,76,2,12,32
Medium,Testing,64,3,7,64
Hard,Testing,38,4,9,8
Hard,Documentation,75,3,17,5
Hard,Documentation,88,1,7,6
Medium,Testing,100,1,8,32
Medium,Development,43,2,18,46
Hard,Testing,80,1,12,98
Medium,Testing,84,5,17,1
Easy,Testing,46,4,14,91
Hard,Development,17,2,2,38
Easy,Development,73,5,8,28
Medium,Development,80,5,5,89
Easy,Documentation,54,1,1,99
Hard,Development,37,2,6,16
Hard,Documentation,82,5,3,44
Hard,Testing,23,4,2,49
Medium,Development,23,3,14,68
Medium,Testing,76,2,20,58
Hard,Testing,3,5,16,29
Medium,Documentation,62,1,16,73
Easy,Testing,87,5,1,89
